dat_iniciosemana;dat_fimsemana;ano_referencia;mes_referencia;num_revisao;nom_semanaoperativa;cod_modelos;id_subsistema;nom_subsistema;nom_usina;val_cvu
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;205;N;NORTE;MANAUARA;0.00
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;207;N;NORTE;PONTA NEGR;0.00
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;203;N;NORTE;C. ROCHA;0.00
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;204;N;NORTE;JARAQUI;0.00
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;209;N;NORTE;TAMBAQUI;0.00
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;212;N;NORTE;MARANHAO3;85.72
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;140;N;NORTE;UTE MAUA 3;95.66
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;201;N;NORTE;APARECIDA;95.66
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;116;N;NORTE;PARNAIB_IV;151.69
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;176;N;NORTE;P. ITAQUI;178.25
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;421;N;NORTE;MARAN_VL22;182.90
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;436;N;NORTE;MARANIVL22;182.90
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;21;N;NORTE;MARANHAO V;182.90
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;437;N;NORTE;MARANIVL_7;182.90
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;36;N;NORTE;MARANHAOIV;182.90
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;422;N;NORTE;MARAN_VL_7;182.90
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;446;N;NORTE;N.VEN2_L22;232.01
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;46;N;NORTE;N.VENECIA2;232.27
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;447;N;NORTE;N.VEN2_L7;232.27
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;70;N;NORTE;GERAMAR2;680.77
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;73;N;NORTE;GERAMAR1;680.77
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;106;NE;NORDESTE;ERB CANDEI;87.81
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;96;NE;NORDESTE;TERMOPE;153.27
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;147;NE;NORDESTE;PROSPERIDA;165.61
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;167;NE;NORDESTE;P.PECEM1;173.15
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;163;NE;NORDESTE;P.PECEM2;183.98
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;224;NE;NORDESTE;PSERGIPE I;206.08
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;42;NE;NORDESTE;FORTALEZA;223.72
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;74;NE;NORDESTE;R.ALMEIDA;345.02
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;58;NE;NORDESTE;TERMOCEARA;371.45
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;83;NE;NORDESTE;JS_PEREIRA;445.29
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;43;NE;NORDESTE;C.FURTADO;452.01
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;221;NE;NORDESTE;SYKUE I;510.12
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;98;NE;NORDESTE;PERNAMBU_3;580.41
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;57;NE;NORDESTE;MARACANAU;658.16
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;152;NE;NORDESTE;TERMOCABO;672.61
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;67;NE;NORDESTE;TERMONE;677.88
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;69;NE;NORDESTE;TERMOPB;677.88
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;52;NE;NORDESTE;CAMPINA_GR;680.80
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;170;NE;NORDESTE;SUAPE II;686.33
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;55;NE;NORDESTE;GLOBAL II;772.37
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;53;NE;NORDESTE;GLOBAL I;772.37
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;112;NE;NORDESTE;BAHIA_1;815.30
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;161;NE;NORDESTE;POTIGUAR_3;1000.82
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;151;NE;NORDESTE;POTIGUAR;1000.83
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;166;NE;NORDESTE;AREMBEPE;1019.02
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;164;NE;NORDESTE;MURICY;1019.02
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;125;NE;NORDESTE;PECEM;1024.39
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;138;NE;NORDESTE;NAZARIA;1024.39
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;133;NE;NORDESTE;JUAZEIRO N;1024.39
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;127;NE;NORDESTE;IGUATU;1024.39
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;111;NE;NORDESTE;ARACATI;1024.39
2020-12-26;2021-01-01;2021;1;0;PMO Janeiro 2021;117;NE;NORDESTE;C.MAIOR;1024.39
