id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
N,Norte,17/06/2000,2439.0875
N,Norte,18/06/2000,2364.354167
N,Norte,19/06/2000,2537.05
N,Norte,20/06/2000,2511.829167
N,Norte,21/06/2000,2497.241667
N,Norte,22/06/2000,2377.704167
N,Norte,23/06/2000,2522.933333
N,Norte,24/06/2000,2425.829167
N,Norte,25/06/2000,2314.0875
N,Norte,26/06/2000,2524.770833
N,Norte,27/06/2000,2542.354167
N,Norte,28/06/2000,2541.391667
N,Norte,29/06/2000,2517.675
N,Norte,30/06/2000,2533.145833
N,Norte,01/07/2000,2378.875
N,Norte,02/07/2000,2281.891667
N,Norte,03/07/2000,2506.9875
N,Norte,04/07/2000,2529.291667
N,Norte,05/07/2000,2504.616667
N,Norte,06/07/2000,2502.1
N,Norte,07/07/2000,2497.179167
N,Norte,08/07/2000,2421.1
N,Norte,09/07/2000,2326.170833
N,Norte,10/07/2000,2476.941667
N,Norte,11/07/2000,2470.9125
N,Norte,12/07/2000,2482.125
N,Norte,13/07/2000,2504.333333
N,Norte,14/07/2000,2475.9625
N,Norte,15/07/2000,2379.2875
N,Norte,16/07/2000,2254.558333
N,Norte,17/07/2000,2462.079167
N,Norte,18/07/2000,2490.433333
N,Norte,19/07/2000,2444.945833
N,Norte,20/07/2000,2459.866667
N,Norte,21/07/2000,2453.45
N,Norte,22/07/2000,2376.725
N,Norte,23/07/2000,2314.054167
N,Norte,24/07/2000,2473.795833
N,Norte,25/07/2000,2490.608333
N,Norte,26/07/2000,2513.741667
N,Norte,27/07/2000,2474.5875
N,Norte,28/07/2000,2464.5625
N,Norte,29/07/2000,2401.2125
N,Norte,30/07/2000,2336.008333
N,Norte,31/07/2000,2543.5
N,Norte,01/08/2000,2573.416667
N,Norte,02/08/2000,2558.5125
N,Norte,03/08/2000,2576.108333
N,Norte,04/08/2000,2576.133333
N,Norte,05/08/2000,2483.45
N,Norte,06/08/2000,2407.3125
N,Norte,07/08/2000,2552.620833
