MUNICÍPIO - UF,UF,LATITUDE,LONGITUDE
ARARIPINA - PE,PE,-7.5781415,-40.50246057
ARARUAMA - RJ,RJ,-22.87743839,-42.34109602
ARARUNA - PB,PB,-6.531447021,-35.73598051
ARARUNA - PR,PR,-23.92820095,-52.4996181
ARATIBA - RS,RS,-27.39444413,-52.30383195
ARAUCÁRIA - PR,PR,-25.591645,-49.4019397
ARAXÁ - MG,MG,-19.5913298,-46.94000989
ARAÇATUBA - SP,SP,-21.205476,-50.43922607
ARAÇUAÍ - MG,MG,-16.8517814,-42.06420655
ARCEBURGO - MG,MG,-21.36018148,-46.94435413
ARCOS - MG,MG,-20.28256312,-45.54363187
AREAL - RJ,RJ,-22.236912,-43.10106981
AREIA BRANCA - RN,RN,-4.952897631,-37.13127172
AREIA DE BARAÚNAS - PB,PB,-7.123695013,-36.94350796
AREIAL - PB,PB,-7.049961089,-35.92280943
ARENÓPOLIS - GO,GO,-16.38754562,-51.56002949
ARINOS - MG,MG,-15.92177169,-46.10775214
ARIPUANÃ - MT,MT,-10.1725237,-59.44861638
ARIQUEMES - RO,RO,-9.908462867,-63.03326928
ARIRANHA - SP,SP,-21.18612744,-48.78833656
ARMAÇÃO DOS BÚZIOS - RJ,RJ,-22.75776379,-41.88774947
ARRAIAS - TO,TO,-12.93441986,-46.94610706
ARROIO DO MEIO - RS,RS,-29.39889072,-51.94744949
ARROIO TRINTA - SC,SC,-26.93256486,-51.33412392
ARTUR NOGUEIRA - SP,SP,-22.57134301,-47.16430115
ARUJÁ - SP,SP,-23.39582674,-46.3204896
ARVOREDO - SC,SC,-27.07353356,-52.45778884
ARÊS - RN,RN,-6.193712274,-35.1606361
ASSIS - SP,SP,-22.66283502,-50.41751004
ASSIS BRASIL - AC,AC,-10.94286568,-69.56345917
ASSIS CHATEAUBRIAND - PR,PR,-24.40853008,-53.52123693
ASTOLFO DUTRA - MG,MG,-21.31120385,-42.85964431
ATALAIA - AL,AL,-9.501386747,-36.02142732
ATALAIA DO NORTE - AM,AM,-4.36615749,-70.18798928
AUGUSTO DE LIMA - MG,MG,-18.1125481,-44.27521884
AUTAZES - AM,AM,-3.578663642,-59.13356709
AVANHANDAVA - SP,SP,-21.46087056,-49.9426973
AVARÉ - SP,SP,-23.1031935,-48.92326319
AVEIRO - PA,PA,-3.605595259,-55.33073439
AÇAILÂNDIA - MA,MA,-4.951377,-47.50666459
AÇU - RN,RN,-5.571945999,-36.91792322
AÇUCENA - MG,MG,-19.07671289,-42.54621088
BAEPENDI - MG,MG,-21.95761081,-44.89037066
BAGÉ - RS,RS,-31.33050184,-54.10708329
BAIXO GUANDU - ES,ES,-19.51424613,-41.01206774
BALDIM - MG,MG,-19.2864373,-43.95704064
BALNEÁRIO CAMBORIÚ - SC,SC,-26.99181861,-48.63461748
BALSA NOVA - PR,PR,-25.57849781,-49.63175599
BALSAS - MA,MA,-7.53116999,-46.03899267
BAMBUÍ - MG,MG,-20.01189169,-45.97904481
BANANAL - SP,SP,-22.682616,-44.32333013
BANDEIRANTE - SC,SC,-26.7689379,-53.64104959
BANDEIRANTES - PR,PR,-23.0924805,-50.37187302
BARAÚNA - RN,RN,-5.076618105,-37.6181802
BARBACENA - MG,MG,-21.22491538,-43.77619332
BARCARENA - PA,PA,-1.505767005,-48.62707289
BARCELOS - AM,AM,-0.972801053,-62.92566966
BARIRI - SP,SP,-22.071978,-48.74152477
BARRA BONITA - SC,SC,-26.6522936,-53.44130254
BARRA BONITA - SP,SP,-22.4911455,-48.56322923
BARRA DE SÃO FRANCISCO - ES,ES,-18.75908905,-40.89039862
BARRA DO BUGRES - MT,MT,-15.06625794,-57.18640869
BARRA DO CHAPÉU - SP,SP,-24.471426,-49.02713914
BARRA DO GARÇAS - MT,MT,-15.88871145,-52.26032976
BARRA DO MENDES - BA,BA,-11.80882828,-42.05912842
BARRA DOS COQUEIROS - SE,SE,-10.90679925,-37.04124155
BARRA VELHA - SC,SC,-28.88311733,-49.29745809
BARRACÃO - RS,RS,-27.68022987,-51.46015146
BARREIRAS - BA,BA,-11.06377865,-39.04743197
BARREIRINHA - AM,AM,-2.798149837,-57.06775049
BARREIRINHAS - MA,MA,-2.750085949,-42.82780251
BARRETOS - SP,SP,-20.55845552,-48.56737784
BARRO ALTO - GO,GO,-14.9737086,-48.91570708
BARROSO - MG,MG,-21.176287,-43.97538112
BARUERI - SP,SP,-23.508902,-46.87465289
BARÃO DE GRAJAÚ - MA,MA,-6.758955206,-43.0264527
BARÃO DO TRIUNFO - RS,RS,-30.39048385,-51.73766947
BATAYPORÃ - MS,MS,-22.29587997,-53.27480699
BATATAIS - SP,SP,-20.8919295,-47.58610673
BAURU - SP,SP,-22.3251225,-49.08300087
BAYEUX - PB,PB,-7.132276485,-34.92918582
BAÍA FORMOSA - RN,RN,-6.369992304,-35.00903618
BEBEDOURO - SP,SP,-20.94981552,-48.47736217
BEBERIBE - CE,CE,-4.174763221,-38.12327304
BELA VISTA - MS,MS,-22.11597618,-56.53131457
BELA VISTA DE GOIÁS - GO,GO,-16.97312144,-48.9524116
BELFORD ROXO - RJ,RJ,-22.76455597,-43.39962497
BELMIRO BRAGA - MG,MG,-21.9501313,-43.41572077
BELO HORIZONTE - MG,MG,-19.93752429,-43.92645317
BELO ORIENTE - MG,MG,-19.224645,-42.4872826
BELO VALE - MG,MG,-20.40665787,-44.02852765
BELTERRA - PA,PA,-2.649020169,-54.94267474
BELÉM - PA,PA,-1.459845,-48.48782569
BENEDITO NOVO - SC,SC,-26.77750757,-49.36440275
BENEVIDES - PA,PA,-1.361437515,-48.24183645
BENJAMIN CONSTANT - AM,AM,-4.374989019,-70.02734843
BENTO DE ABREU - SP,SP,-21.26910802,-50.81185221
BENTO FERNANDES - RN,RN,-5.692383318,-35.82169889
BENTO GONÇALVES - RS,RS,-29.16740193,-51.51556031
BERILO - MG,MG,-16.95030176,-42.46135377
BERTIOGA - SP,SP,-23.8540145,-46.13653834
BERURI - AM,AM,-3.89451341,-61.37157089
BETIM - MG,MG,-19.96537924,-44.1975511
BETÂNIA DO PIAUÍ - PI,PI,-8.145665577,-40.79662193
BIGUAÇU - SC,SC,-27.49432274,-48.65448893
BIRITINGA - BA,BA,-11.62011026,-38.81215892
BLUMENAU - SC,SC,-26.91610771,-49.05763088
BOA VENTURA DE SÃO ROQUE - PR,PR,-24.87851759,-51.53937384
BOA VISTA - RR,RR,2.816681919,-60.67053267
BOA VISTA DAS MISSÕES - RS,RS,-27.66611104,-53.31275639
BOA VISTA DO CADEADO - RS,RS,-28.57743448,-53.81373464
BOA VISTA DO RAMOS - AM,AM,-2.971726532,-57.58770735
BOCA DA MATA - AL,AL,-9.547001894,-35.98257669
BOCA DO ACRE - AM,AM,-8.751243196,-67.39957776
BOCAINA - SP,SP,-22.13392255,-48.52049362
BOCAIÚVA - MG,MG,-17.11210473,-43.81444357
BOCAIÚVA DO SUL - PR,PR,-25.21490158,-49.10578748
BODÓ - RN,RN,-5.98804525,-36.4138377
BOITUVA - SP,SP,-23.281944,-47.6714735
BOM DESPACHO - MG,MG,-19.73759633,-45.2541152
BOM JARDIM - RJ,RJ,-22.15330523,-42.41721148
BOM JARDIM DA SERRA - SC,SC,-28.33794719,-49.62497775
BOM JESUS - RN,RN,-5.795703483,-37.41524211
BOM JESUS - RS,RS,-28.67057768,-50.43334927
BOM JESUS - SC,SC,-26.73592344,-52.39301596
BOM JESUS DA LAPA - BA,BA,-13.25411437,-43.41714164
BOM JESUS DO GALHO - MG,MG,-19.82447204,-42.31572655
