MUNICÍPIO - UF,UF,LATITUDE,LONGITUDE
COLÔMBIA - SP,SP,-20.17155884,-48.68748418
COLÔNIA LEOPOLDINA - AL,AL,-8.91268827,-35.71978086
COMENDADOR LEVY GASPARIAN - RJ,RJ,-22.03335894,-43.21722372
COMODORO - MT,MT,-13.66055992,-59.79043099
CONCEIÇÃO DA BARRA - ES,ES,-18.5984623,-39.72747442
CONCEIÇÃO DA BARRA DE MINAS - MG,MG,-21.13176937,-44.47780821
CONCEIÇÃO DAS ALAGOAS - MG,MG,-19.92311351,-48.38187413
CONCEIÇÃO DE IPANEMA - MG,MG,-19.93078036,-41.69244926
CONCEIÇÃO DO ARAGUAIA - PA,PA,-8.26486353,-49.26450081
CONCEIÇÃO DO CASTELO - ES,ES,-20.36558111,-41.24534804
CONCEIÇÃO DO JACUÍPE - BA,BA,-12.32294646,-38.76367372
CONCEIÇÃO DO MATO DENTRO - MG,MG,-19.04518999,-43.42343577
CONCEIÇÃO DO PARÁ - MG,MG,-19.74905623,-44.89587561
CONCÓRDIA - SC,SC,-27.23365878,-52.02397107
CONDADO - PB,PB,-6.912306777,-37.60397133
CONDOR - RS,RS,-28.20529578,-53.48894333
CONFINS - MG,MG,-19.62994825,-43.99559609
CONFRESA - MT,MT,-10.64073058,-51.57103362
CONGONHAS - MG,MG,-20.50464279,-43.85689265
CONQUISTA - MG,MG,-19.93693063,-47.54328322
CONQUISTA D'OESTE - MT,MT,-14.53627281,-59.54507421
CONSELHEIRO LAFAIETE - MG,MG,-20.6608518,-43.78844466
CONTAGEM - MG,MG,-19.94344591,-44.06634465
COQUEIRAL - MG,MG,-21.18657452,-45.44080557
COQUEIRO BAIXO - RS,RS,-29.1792568,-52.09460256
CORBÉLIA - PR,PR,-24.79964952,-53.29652778
CORDEIRÓPOLIS - SP,SP,-22.48170703,-47.45828293
CORDILHEIRA ALTA - SC,SC,-26.98508129,-52.60325127
COREMAS - PB,PB,-7.016918284,-37.94553728
COROACI - MG,MG,-18.61808351,-42.28302789
COROMANDEL - MG,MG,-18.4738506,-47.20154773
CORONEL DOMINGOS SOARES - PR,PR,-26.22654777,-52.03453868
CORONEL FABRICIANO - MG,MG,-19.52505284,-42.62434658
CORONEL VIVIDA - PR,PR,-25.9781535,-52.56708664
CORONEL XAVIER CHAVES - MG,MG,-21.02459501,-44.22862425
CORREIA PINTO - SC,SC,-27.58480834,-50.36376055
CORRENTINA - BA,BA,-13.34177182,-44.6410867
CORUMBIARA - RO,RO,-12.99752024,-60.94870117
CORUMBÁ - MS,MS,-19.00637465,-57.64898546
CORUMBÁ DE GOIÁS - GO,GO,-15.92790515,-48.81034506
CORUPÁ - SC,SC,-26.43196632,-49.226737
CORURIPE - AL,AL,-10.12654725,-36.17607831
COSMÓPOLIS - SP,SP,-22.64578489,-47.19677078
COSTA MARQUES - RO,RO,-12.43601388,-64.23165394
COSTA RICA - MS,MS,-18.54354839,-53.1330469
COTIA - SP,SP,-23.603514,-46.93184633
COTIPORÃ - RS,RS,-28.99857643,-51.69643368
COXIM - MS,MS,-18.50841054,-54.75805595
CRICIÚMA - SC,SC,-28.67357225,-49.36593956
CRISSIUMAL - RS,RS,-27.49801227,-54.10003491
CRISTAL - RS,RS,-30.99934519,-52.0494104
CRISTAL DO SUL - RS,RS,-27.45362957,-53.2491845
CRISTALINA - GO,GO,-16.76943366,-47.60681759
CRISTINA - MG,MG,-22.20832052,-45.26280861
CRISTINO CASTRO - PI,PI,-8.820186289,-44.22441475
CRUZ ALTA - RS,RS,-28.64244661,-53.60524076
CRUZ MACHADO - PR,PR,-26.01726888,-51.34770952
CRUZEIRO DO IGUAÇU - PR,PR,-25.61656927,-53.12682266
CRUZEIRO DO SUL - AC,AC,-7.630690005,-72.67253132
CRUZEIRO DO SUL - RS,RS,-29.50829097,-51.99157589
CUBATÃO - SP,SP,-23.883839,-46.42003177
CUIABÁ - MT,MT,-15.56998901,-56.07325204
CUJUBIM - RO,RO,-9.378193399,-62.58717453
CUMARU - PE,PE,-8.015032443,-35.69469896
CURITIBA - PR,PR,-25.432956,-49.27184789
CURITIBANOS - SC,SC,-27.28298251,-50.58260104
CURRAIS NOVOS - RN,RN,-6.264672219,-36.51621922
CURRAL NOVO DO PIAUÍ - PI,PI,-7.830797188,-40.90106947
CURRALINHO - PA,PA,-1.80942342,-49.79152285
CURURUPU - MA,MA,-1.825520781,-44.86776162
CURVELO - MG,MG,-18.75548072,-44.42839897
CÁSSIA DOS COQUEIROS - SP,SP,-21.28500043,-47.16710588
CÂNDIDO MOTA - SP,SP,-22.7469255,-50.38839317
CÉU AZUL - PR,PR,-25.14976121,-53.85726938
CÓRREGO FUNDO - MG,MG,-20.45552532,-45.55339545
DAMIÃO - PB,PB,-6.631897407,-35.90994254
DELFIM MOREIRA - MG,MG,-22.50200875,-45.27259636
DELFINÓPOLIS - MG,MG,-20.34584622,-46.85817961
DELMIRO GOUVEIA - AL,AL,-9.384574447,-37.99923349
DELTA - MG,MG,-19.97747269,-47.77297143
DESCALVADO - SP,SP,-21.909083,-47.62066397
DESCOBERTO - MG,MG,-21.46020397,-42.97206918
DEZESSEIS DE NOVEMBRO - RS,RS,-28.22687644,-55.0482085
DIADEMA - SP,SP,-23.689295,-46.62338139
DIAMANTE DO NORTE - PR,PR,-22.65720615,-52.86411124
DIAMANTINA - MG,MG,-18.24209272,-43.59445682
DIAMANTINO - MT,MT,-14.40132296,-56.43356608
DIANÓPOLIS - TO,TO,-11.62523188,-46.82040907
DIAS D'ÁVILA - BA,BA,-12.60436842,-38.29799359
DIVINO - MG,MG,-20.6129772,-42.14773934
DIVINÓPOLIS - MG,MG,-20.14207397,-44.89388553
DIVISA NOVA - MG,MG,-21.51726446,-46.20294111
DOBRADA - SP,SP,-21.51480433,-48.40024272
DOIS CÓRREGOS - SP,SP,-22.367316,-48.38267599
DOIS IRMÃOS - RS,RS,-29.58415878,-51.08761931
DOIS LAJEADOS - RS,RS,-28.97520539,-51.83510299
DOIS VIZINHOS - PR,PR,-25.74601002,-53.05483599
DOM ELISEU - PA,PA,-4.29077772,-47.55591489
DOM INOCÊNCIO - PI,PI,-9.008074943,-41.97685112
DOM PEDRITO - RS,RS,-30.98126706,-54.67413018
DOMINGOS MARTINS - ES,ES,-20.36423852,-40.65939635
DONA EMMA - SC,SC,-26.98630061,-49.71689775
DORES DE GUANHÃES - MG,MG,-19.05426178,-42.92672189
DORES DO RIO PRETO - ES,ES,-20.69289391,-41.84957736
DOURADINA - PR,PR,-23.38190722,-53.29644866
DOURADOS - MS,MS,-22.22723554,-54.81128912
DOUTOR PEDRINHO - SC,SC,-26.72046096,-49.47929336
DRACENA - SP,SP,-21.48613754,-51.53404966
DUAS BARRAS - RJ,RJ,-22.05890609,-42.51509763
DUQUE DE CAXIAS - RJ,RJ,-22.78525325,-43.30988807
DURANDÉ - MG,MG,-20.20723888,-41.79426165
EDÉIA - GO,GO,-17.33808003,-49.93442396
EIRUNEPÉ - AM,AM,-6.667352567,-69.86629026
ELIAS FAUSTO - SP,SP,-23.04253672,-47.37677424
ELISEU MARTINS - PI,PI,-8.09646229,-43.66481113
EMBU - SP,SP,-23.6473125,-46.85085999
ENCANTADO - RS,RS,-29.23991721,-51.87302313
ENCRUZILHADA DO SUL - RS,RS,-30.54365732,-52.52204539
ENGENHEIRO BELTRÃO - PR,PR,-23.80114407,-52.26003515
ENTRE RIOS DO SUL - RS,RS,-27.52885793,-52.73506795
ENTRE-IJUÍS - RS,RS,-28.36279428,-54.27143185
ENVIRA - AM,AM,-7.439817544,-70.03041254
EQUADOR - RN,RN,-6.945842749,-36.71641243
ERECHIM - RS,RS,-27.63340581,-52.2758769
ERNESTINA - RS,RS,-28.49715469,-52.57217621
ERVAL SECO - RS,RS,-27.54941713,-53.50957308
ERVAL VELHO - SC,SC,-27.27389548,-51.4434329
ERVÁLIA - MG,MG,-20.83350656,-42.65936747
ESCADA - PE,PE,-8.36252199,-35.23615742
ESPERANÇA - PB,PB,-7.020685,-35.85859329
ESPIGÃO D'OESTE - RO,RO,-11.52855463,-61.02017311
ESPLANADA - BA,BA,-11.7994095,-37.94498147
ESPÍRITO SANTO DO PINHAL - SP,SP,-22.1970535,-46.74551429
ESPÍRITO SANTO DO TURVO - SP,SP,-22.69497349,-49.42982529
ESTEIO - RS,RS,-29.8521863,-51.14383734
ESTRELA - RS,RS,-29.50347188,-51.97026029
ESTÂNCIA - SE,SE,-11.26794865,-37.44001085
EUGÊNIO DE CASTRO - RS,RS,-28.52505976,-54.14811262
EUNÁPOLIS - BA,BA,-16.37516723,-39.58417194
EUSÉBIO - CE,CE,-3.886972887,-38.44512184
FARO - PA,PA,-2.172975242,-56.74575302
FARROUPILHA - RS,RS,-29.22367919,-51.34834957
FAXINAL DOS GUEDES - SC,SC,-26.85978672,-52.2714154
FAXINALZINHO - RS,RS,-27.42541551,-52.67059124
FAZENDA RIO GRANDE - PR,PR,-25.64140022,-49.32329319
FEIJÓ - AC,AC,-8.16024753,-70.35398361
FEIRA DE SANTANA - BA,BA,-12.22928425,-38.9600331
FERNANDO DE NORONHA - PE,PE,-3.852021401,-32.43518633
FERNANDO PEDROZA - RN,RN,-5.696015781,-36.53245354
FERNANDO PRESTES - SP,SP,-21.26712199,-48.69227305
FERNANDÓPOLIS - SP,SP,-20.28238299,-50.24874843
FERRAZ DE VASCONCELOS - SP,SP,-23.5415445,-46.36655267
FERREIRA GOMES - AP,AP,0.853977393,-51.18742905
FIGUEIRA - PR,PR,-23.84341076,-50.40920109
FIGUEIRÓPOLIS D'OESTE - MT,MT,-15.44613511,-58.73782455
FIRMINO ALVES - BA,BA,-14.98493538,-39.92144176
FIRMINÓPOLIS - GO,GO,-16.57646123,-50.30363434
FLOR DO SERTÃO - SC,SC,-26.77943233,-53.34489144
FLORES - PE,PE,-7.861714475,-37.97145611
FLORES DA CUNHA - RS,RS,-29.03114214,-51.18222058
FLORESTA - PE,PE,-8.6008265,-38.57123934
FLORESTAL - MG,MG,-19.89451823,-44.43011556
FLORESTÓPOLIS - PR,PR,-22.8591043,-51.38382265
FLORIANO - PI,PI,-6.769672434,-43.02064474
FLORIANO PEIXOTO - RS,RS,-27.86250928,-52.0856071
FLORIANÓPOLIS - SC,SC,-27.58779555,-48.54763738
FONTE BOA - AM,AM,-2.512270685,-66.09650299
FONTOURA XAVIER - RS,RS,-28.98216779,-52.34495318
FORMIGA - MG,MG,-20.46488355,-45.42642818
FORMOSA - GO,GO,-15.54094463,-47.33581558
FORMOSA DO RIO PRETO - BA,BA,-11.04703249,-45.19099091
FORMOSO - MG,MG,-14.9517426,-46.23997954
FORTALEZA - CE,CE,-3.723805035,-38.58992756
FORTIM - CE,CE,-4.449804917,-37.79897549
FOZ DO IGUAÇU - PR,PR,-25.54249328,-54.58710249
FOZ DO JORDÃO - PR,PR,-25.73343962,-52.12562753
FRAIBURGO - SC,SC,-27.02344696,-50.92507924
FRANCA - SP,SP,-20.536097,-47.40233163
FRANCISCO BELTRÃO - PR,PR,-26.07845,-53.05613572
FRANCISCO SÁ - MG,MG,-16.47568087,-43.48873528
FREDERICO WESTPHALEN - RS,RS,-27.35888241,-53.40077674
FREI INOCÊNCIO - MG,MG,-18.56178973,-41.90121659
FREI ROGÉRIO - SC,SC,-27.1747515,-50.80640825
FRONTEIRA - MG,MG,-20.28830056,-49.20428203
FRONTEIRAS - PI,PI,-7.088412533,-40.61723293
FRUTAL - MG,MG,-20.02589788,-48.93915371
FÁTIMA DO SUL - MS,MS,-22.37542321,-54.51637599
GALINHOS - RN,RN,-5.091689778,-36.27464007
GAMELEIRA - PE,PE,-8.583835771,-35.38661078
GAMELEIRA DE GOIÁS - GO,GO,-16.48273663,-48.64570549
GAMELEIRAS - MG,MG,-15.07682207,-43.11948084
GARÇA - SP,SP,-22.21070949,-49.65652994
GASPAR - SC,SC,-26.91836851,-48.96770657
GAVIÃO PEIXOTO - SP,SP,-21.8403669,-48.4954592
GAÚCHA DO NORTE - MT,MT,-13.18804319,-53.26151867
GENERAL CARNEIRO - PR,PR,-26.42580253,-51.31685892
GENERAL SALGADO - SP,SP,-20.64836932,-50.3618137
GENTIO DO OURO - BA,BA,-11.42753131,-42.50474239
GILBUÉS - PI,PI,-9.834569906,-45.34691998
GIRUÁ - RS,RS,-28.02974437,-54.35084008
GOIANA - PE,PE,-7.559231855,-34.9983763
GOIANDIRA - GO,GO,-18.13262467,-48.08847137
GOIANIRA - GO,GO,-16.50319156,-49.42877727
GOIANÉSIA - GO,GO,-15.32228875,-49.11581015
GOIATUBA - GO,GO,-18.01063324,-49.36664347
GOIOERÊ - PR,PR,-24.18918839,-53.02731891
GOIOXIM - PR,PR,-25.20154031,-52.00558797
GOIÂNIA - GO,GO,-16.67330977,-49.25581428
GOUVEIA - MG,MG,-18.4429725,-43.73398675
GOVERNADOR VALADARES - MG,MG,-18.8528824,-41.94708133
GRAVATAÍ - RS,RS,-29.94551891,-50.99079297
GRAVATÁ - PE,PE,-8.2059995,-35.57149239
GRÃO MOGOL - MG,MG,-16.56649515,-42.88801288
GUADALUPE - PI,PI,-6.785246909,-43.56692365
GUAIMBÊ - SP,SP,-21.91092066,-49.89717775
GUAJARÁ-MIRIM - RO,RO,-10.77388374,-65.32395182
GUAMARÉ - RN,RN,-5.107362955,-36.31814438
GUAMIRANGA - PR,PR,-25.18990945,-50.8098759
GUANAMBI - BA,BA,-14.22531503,-42.77856197
GUANHÃES - MG,MG,-18.77715079,-42.9370491
GUAPIAÇU - SP,SP,-20.79644862,-49.21914586
GUAPORÉ - RS,RS,-28.84913364,-51.89065069
GUARACI - SP,SP,-20.49880921,-48.9445026
GUARACIABA - MG,MG,-20.5717035,-43.01128165
GUARACIABA - SC,SC,-26.60034757,-53.52208972
GUARAMIRIM - SC,SC,-26.47444513,-48.99210427
GUARANI - MG,MG,-21.36266919,-43.04645668
GUARANI DAS MISSÕES - RS,RS,-28.14177926,-54.56055593
GUARANTÃ DO NORTE - MT,MT,-9.954073234,-54.91605731
GUARANÉSIA - MG,MG,-21.30556037,-46.79549122
GUARAPUAVA - PR,PR,-25.39359198,-51.46343108
GUARARAPES - SP,SP,-21.2534465,-50.64263905
GUARATINGUETÁ - SP,SP,-22.81742509,-45.19160013
GUARATUBA - PR,PR,-25.87424198,-48.57572596
GUARAÍ - TO,TO,-8.836165658,-48.50864061
GUARIBA - SP,SP,-21.357996,-48.23405673
GUARUJÁ - SP,SP,-23.995149,-46.24903428
GUARULHOS - SP,SP,-23.468506,-46.53108409
GUARÁ - SP,SP,-20.42755706,-47.82459295
GUATAMBÚ - SC,SC,-27.13691087,-52.78384013
GUATAPARÁ - SP,SP,-21.49189465,-48.03772936
GUAXUPÉ - MG,MG,-21.30378146,-46.71353723
GUAÍBA - RS,RS,-30.10860192,-51.31468366
GUAÍRA - SP,SP,-20.32014434,-48.31447049
GUIMARÂNIA - MG,MG,-18.83801922,-46.79726503
GURUPI - TO,TO,-11.72977232,-49.07147747
GURUPÁ - PA,PA,-1.404918,-51.64369572
GÁLIA - SP,SP,-22.29401925,-49.55211133
HIDROLÂNDIA - GO,GO,-16.96094477,-49.22978404
HORIZONTE - CE,CE,-4.093278,-38.49423956
HORTOLÂNDIA - SP,SP,-22.858395,-47.22109661
HULHA NEGRA - RS,RS,-31.40509825,-53.86782479
HUMAITÁ - AM,AM,-7.512224951,-63.02669802
HUMBERTO DE CAMPOS - MA,MA,-2.591223972,-43.46509214
IACANGA - SP,SP,-21.8919776,-49.01692992
IARAS - SP,SP,-22.87189228,-49.15617915
IAURETÊ - AM,AM,0.619660111,-69.18042254
IBAITI - PR,PR,-23.84982149,-50.19066627
IBARETAMA - CE,CE,-4.818651578,-38.82167831
IBATÉ - SP,SP,-21.955602,-48.00238821
IBIAPINA - CE,CE,-3.936131262,-40.89392902
IBIAÇÁ - RS,RS,-28.04884952,-51.85725209
IBICARÉ - SC,SC,-27.09154902,-51.36845026
IBICUÍ - BA,BA,-14.84309037,-39.98983211
IBIMIRIM - PE,PE,-8.538762208,-37.69004669
IBIPEBA - BA,BA,-11.63752644,-42.01124844
IBIRACI - MG,MG,-20.47015488,-47.13080349
IBIRAMA - SC,SC,-27.05354088,-49.52202776
IBIRAPITANGA - BA,BA,-14.1650325,-39.37446653
IBIRAPUITÃ - RS,RS,-28.61502042,-52.51938559
IBIRAPUÃ - BA,BA,-17.68419714,-40.10630941
IBIRAREMA - SP,SP,-22.81454296,-50.07912539
IBIRITÉ - MG,MG,-20.02803775,-44.05666464
IBIRUBÁ - RS,RS,-28.62760778,-53.08835402
IBITIARA - BA,BA,-12.6455137,-42.21329432
IBITINGA - SP,SP,-21.75708298,-48.82769469
IBITITÁ - BA,BA,-11.55277072,-41.97515215
IBIÁ - MG,MG,-19.47511172,-46.53861142
IBIÚNA - SP,SP,-23.6526325,-47.22049119
ICAPUÍ - CE,CE,-4.715549488,-37.3535631
ICÓ - CE,CE,-6.403031252,-38.86308518
IGAPORÃ - BA,BA,-13.76797648,-42.71787981
IGARAPAVA - SP,SP,-20.03961254,-47.75106657
IGARAPÉ-MIRI - PA,PA,-1.983116,-48.96229947
IGARASSU - PE,PE,-7.82837199,-34.91058339
IGARATINGA - MG,MG,-19.95388625,-44.70049513
IGARAÇU DO TIETÊ - SP,SP,-22.511149,-48.5570661
IGRAPIÚNA - BA,BA,-13.82040244,-39.1400808
IGREJA NOVA - AL,AL,-10.12929884,-36.65334501
IGUABA GRANDE - RJ,RJ,-22.83905698,-42.22212454
IGUATEMI - MS,MS,-23.66190156,-54.55860109
IGUAÍ - BA,BA,-14.75796253,-40.09751345
IJUÍ - RS,RS,-28.38853654,-53.91806684
ILHA GRANDE - PI,PI,-2.854008607,-41.81977318
ILHA SOLTEIRA - SP,SP,-20.4293725,-51.34489066
ILHOTA - SC,SC,-26.90462518,-48.82501401
ILHÉUS - BA,BA,-14.79332027,-39.04318429
ILÓPOLIS - RS,RS,-28.92915273,-52.12215749
IMPERATRIZ - MA,MA,-5.526524025,-47.47981081
INAJÁ - PE,PE,-8.902046079,-37.82448511
INDAIAL - SC,SC,-26.906256,-49.24014046
INDAIATUBA - SP,SP,-23.081646,-47.21230894
INDEPENDÊNCIA - RS,RS,-27.84733156,-54.18810833
INDIANÓPOLIS - MG,MG,-19.04249493,-47.91799232
INDIAVAÍ - MT,MT,-15.49751423,-58.57399239
INHAPIM - MG,MG,-19.55011472,-42.12193093
IPABA - MG,MG,-19.41325083,-42.41816567
IPAMERI - GO,GO,-17.72217681,-48.15866768
IPANEMA - MG,MG,-19.80033595,-41.71735332
IPATINGA - MG,MG,-19.4810321,-42.52035111
IPAUSSU - SP,SP,-23.052913,-49.62680698
IPERÓ - SP,SP,-23.35027739,-47.68989389
IPIRA - SC,SC,-27.40970885,-51.77085362
IPIXUNA - AM,AM,-7.050980114,-71.69441806
IPOJUCA - PE,PE,-8.315576988,-36.94154288
IPUAÇU - SC,SC,-26.6325601,-52.45429691
IPUMIRIM - SC,SC,-27.06832636,-52.14054087
IPUPIARA - BA,BA,-11.8288274,-42.61068885
IPÊ - RS,RS,-28.81832803,-51.27991019
IRACEMA - RR,RR,2.168214765,-61.05225859
IRACEMÁPOLIS - SP,SP,-22.58303693,-47.52224663
IRAQUARA - BA,BA,-12.24350102,-41.61795886
IRAÍ DE MINAS - MG,MG,-18.98185835,-47.46299142
IRINEÓPOLIS - SC,SC,-26.23661294,-50.80390005
ITABERAÍ - GO,GO,-16.02113021,-49.80347937
ITABIRA - MG,MG,-19.63816949,-43.22395162
ITABIRITO - MG,MG,-20.25417651,-43.80214298
ITABORAÍ - RJ,RJ,-22.74586302,-42.86034343
ITABUNA - BA,BA,-14.78903955,-39.27310895
ITACARAMBI - MG,MG,-15.10264186,-44.0931858
ITACARÉ - BA,BA,-14.27824929,-38.99484155
ITACOATIARA - AM,AM,-3.140378804,-58.44017544
ITAGUARA - MG,MG,-20.39067822,-44.48677796
ITAGUAÇU DA BAHIA - BA,BA,-11.00872221,-42.40115712
ITAGUAÍ - RJ,RJ,-22.87125077,-43.77504063
ITAIPULÂNDIA - PR,PR,-25.13848065,-54.30500074
ITAITUBA - PA,PA,-4.26372948,-55.99004886
ITAJAÍ - SC,SC,-26.90742624,-48.65702321
ITAJOBI - SP,SP,-21.31570706,-49.05431108
ITAJUBÁ - MG,MG,-22.43060057,-45.4645825
ITAMARAJU - BA,BA,-17.0423376,-39.53303988
ITAMARATI - AM,AM,-6.437799349,-68.24791744
ITAMBÉ - BA,BA,-15.24801919,-40.62404172
ITAMONTE - MG,MG,-22.28512697,-44.8682875
ITANHAÉM - SP,SP,-24.18612067,-46.79099148
ITAPACI - GO,GO,-14.95040322,-49.55415611
ITAPAGIPE - MG,MG,-19.90329583,-49.36982104
ITAPEBI - BA,BA,-15.97216666,-39.52854139
ITAPEJARA D'OESTE - PR,PR,-25.97087805,-52.8139296
ITAPEMA - SC,SC,-27.09593788,-48.61739939
ITAPEMIRIM - ES,ES,-21.01109963,-40.83614512
ITAPERUNA - RJ,RJ,-21.21059108,-41.88620318
ITAPETINGA - BA,BA,-15.24616719,-40.24738091
ITAPETININGA - SP,SP,-23.5878725,-48.0461429
ITAPEVA - SP,SP,-23.983438,-48.87738916
ITAPEVI - SP,SP,-23.546934,-46.93337286
ITAPIPOCA - CE,CE,-3.4994355,-39.58348158
ITAPIRA - SP,SP,-22.4360055,-46.82124801
ITAPIRANGA - AM,AM,-2.741842752,-58.03454588
ITAPISSUMA - PE,PE,-7.774034765,-34.88927105
ITAPUÍ - SP,SP,-22.23212763,-48.71887416
ITAQUAQUECETUBA - SP,SP,-23.4768975,-46.35160314
ITAQUI - RS,RS,-29.1286369,-56.5571335
ITARANTIM - BA,BA,-15.65783004,-40.06154527
ITARARÉ - SP,SP,-24.11213796,-49.33611971
ITAREMA - CE,CE,-2.923348,-39.91567775
ITARUMÃ - GO,GO,-18.76166023,-51.3488899
ITATIAIA - RJ,RJ,-22.4970146,-44.56277199
ITATINGA - SP,SP,-23.1042734,-48.61338027
ITAÍ - SP,SP,-23.41905539,-49.08103225
ITAÚ DE MINAS - MG,MG,-20.73818939,-46.75295378
ITAÚBA - MT,MT,-11.0077119,-55.24668933
ITAÚNA - MG,MG,-20.07443559,-44.57827658
ITIQUIRA - MT,MT,-17.20682506,-54.1443009
ITORORÓ - BA,BA,-15.11903731,-40.07170334
ITU - SP,SP,-23.2654425,-47.29974984
ITUIUTABA - MG,MG,-18.97306768,-49.46223519
ITUMBIARA - GO,GO,-18.41768247,-49.22087008
ITUPORANGA - SC,SC,-27.41485849,-49.6034147
ITURAMA - MG,MG,-19.73194752,-50.20197358
ITUTINGA - MG,MG,-21.29605636,-44.65883815
ITÁ - SC,SC,-27.28177872,-52.32918252
ITÁPOLIS - SP,SP,-21.59470399,-48.81339199
IVATÉ - PR,PR,-23.40958887,-53.37387941
IVINHEMA - MS,MS,-22.30160356,-53.82697015
JABOATÃO DOS GUARARAPES - PE,PE,-8.165391467,-34.92117347
JABORANDI - BA,BA,-13.625934,-44.46596999
JABORÁ - SC,SC,-27.17285309,-51.74335384
JABOTICABAL - SP,SP,-21.2544715,-48.32034975
JABOTICATUBAS - MG,MG,-19.52228862,-43.74733363
JACARACI - BA,BA,-14.84919057,-42.43060877
JACAREACANGA - PA,PA,-6.223551731,-57.76633986
JACAREZINHO - PR,PR,-23.16011648,-49.97857253
JACAREÍ - SP,SP,-23.3048805,-45.9695932
JACI - SP,SP,-20.88408513,-49.57334461
JACIARA - MT,MT,-15.96483818,-54.96418818
JACOBINA - BA,BA,-11.18506216,-40.51301763
JACUTINGA - MG,MG,-22.28663803,-46.61234117
JACUÍ - MG,MG,-21.01760216,-46.74201038
JAGUARAÇU - MG,MG,-19.6470727,-42.75299906
JAGUARETAMA - CE,CE,-5.610889563,-38.7625263
JAGUARI - RS,RS,-29.49734673,-54.69384667
JAGUARIAÍVA - PR,PR,-24.2530565,-49.7121863
JAGUARIÚNA - SP,SP,-22.70678196,-46.98234347
JAGUARUANA - CE,CE,-4.839555168,-37.78239148
JAGUARUNA - SC,SC,-28.62496369,-49.04912899
JANAÚBA - MG,MG,-15.79902846,-43.30768294
JANDAIA - GO,GO,-17.04942114,-50.14800764
JANDAIA DO SUL - PR,PR,-23.60117892,-51.64339536
JANDAÍRA - RN,RN,-5.35528,-36.13058527
JANDIRA - SP,SP,-23.529939,-46.90522114
JANUÁRIA - MG,MG,-15.48787281,-44.35980533
JAPARATUBA - SE,SE,-10.58946681,-36.9417863
JAPERI - RJ,RJ,-22.64481857,-43.6537858
JAPURÁ - AM,AM,-1.880844859,-66.99690349
JAQUEIRA - PE,PE,-8.727969878,-35.79739521
JARAGUARI - MS,MS,-20.10374039,-54.44068395
JARAGUÁ DO SUL - SC,SC,-26.49048435,-49.07629882
JARDIM DE ANGICOS - RN,RN,-5.652631212,-35.96995433
JARDINÓPOLIS - SC,SC,-26.7205694,-52.85889926
JATAÍ - GO,GO,-17.88623233,-51.72081804
JATOBÁ - PE,PE,-9.185069993,-38.27503766
JAÍBA - MG,MG,-15.34293405,-43.67032888
JAÚ - SP,SP,-22.29579099,-48.55814139
JECEABA - MG,MG,-20.53303344,-43.98523192
JEQUITINHONHA - MG,MG,-16.44176894,-41.00711544
JEQUIÁ DA PRAIA - AL,AL,-10.00959189,-36.02733404
JEQUIÉ - BA,BA,-13.85566401,-40.08860733
JI-PARANÁ - RO,RO,-10.88205132,-61.94509458
JOAQUIM NABUCO - PE,PE,-8.626898299,-35.52924183
JOAÇABA - SC,SC,-27.17394453,-51.50668973
JOINVILLE - SC,SC,-26.30451765,-48.84940914
JORDÃO - AC,AC,-9.19335786,-71.95087512
JOSÉ BONIFÁCIO - SP,SP,-21.05371904,-49.68628272
JOÃO COSTA - PI,PI,-8.489125722,-42.41784858
JOÃO CÂMARA - RN,RN,-5.538423383,-35.81678787
JOÃO DOURADO - BA,BA,-11.34640522,-41.65998918
JOÃO MONLEVADE - MG,MG,-19.80563869,-43.17457127
JOÃO NEIVA - ES,ES,-19.7529586,-40.38088049
JOÃO PESSOA - PB,PB,-7.14938202,-34.87338481
JOÃO PINHEIRO - MG,MG,-17.74185294,-46.17546355
JUAZEIRINHO - PB,PB,-7.065368311,-36.57070101
JUAZEIRO - BA,BA,-9.410717096,-40.50355216
JUAZEIRO DO NORTE - CE,CE,-7.210766,-39.31699336
JUCURUÇU - BA,BA,-16.84451615,-40.15881263
JUIZ DE FORA - MG,MG,-21.76092431,-43.34881727
JUNCO DO SERIDÓ - PB,PB,-6.993337649,-36.71644123
JUNDIAÍ - SP,SP,-23.187668,-46.88527397
JUNQUEIRÓPOLIS - SP,SP,-21.51127575,-51.43401195
JUQUITIBA - SP,SP,-23.9356892,-47.08159407
JUQUIÁ - SP,SP,-24.32070308,-47.63534197
JURUENA - MT,MT,-10.32911278,-58.49630917
JURUTI - PA,PA,-2.155252995,-56.09499769
JURUÁ - AM,AM,-3.474889599,-66.06304193
JUSCIMEIRA - MT,MT,-16.04468519,-54.88876094
JUSSARA - PR,PR,-23.61632671,-52.4730408
JUTAÍ - AM,AM,-2.744646447,-66.77132755
JUÍNA - MT,MT,-11.42201803,-58.76221715
JÚLIO DE CASTILHOS - RS,RS,-29.22644912,-53.68309961
LACERDÓPOLIS - SC,SC,-27.26460009,-51.56286637
LAGES - SC,SC,-27.81725946,-50.33022242
LAGOA DA CONFUSÃO - TO,TO,-10.78869556,-49.62008534
LAGOA DA PRATA - MG,MG,-20.02376533,-45.54169203
LAGOA DO BARRO DO PIAUÍ - PI,PI,-8.482437115,-41.53027541
LAGOA DE ITAENGA - PE,PE,-7.932378179,-35.29280365
LAGOA NOVA - RN,RN,-6.097669296,-36.45896067
