DC_NOME,TIPO,SG_ESTADO,CD_SITUACAO,VL_LATITUDE,VL_LONGITUDE,VL_ALTITUDE,DT_INICIO_OPERACAO,CD_ESTACAO
PEDRO AFONSO,CONVENCIONAL,TO,Operante,-8.968611,-48.177222,189.53,03/03/1977,13/11/2126
PEIXE,CONVENCIONAL,TO,Operante,-12.015278,-48.545,252.24,30/04/1975,13/11/2127
PELOTAS,CONVENCIONAL,RS,Operante,-31.783333,-52.416667,13,31/12/1925,09/12/2129
PETROLINA,CONVENCIONAL,PE,Operante,-9.388611,-40.523333,372.54,31/12/1940,13/03/2127
PICOS,CONVENCIONAL,PI,Operante,-7.080833,-41.435,210.07,31/10/1923,22/08/2126
PIRENOPOLIS,CONVENCIONAL,GO,Operante,-15.854722,-48.966111,766.92,16/02/1977,09/04/2128
PIRIPIRI,CONVENCIONAL,PI,Operante,-4.276111,-41.794444,157.89,08/03/1976,26/10/2125
PORTO ALEGRE,CONVENCIONAL,RS,Operante,-30.053611,-51.174722,41.18,08/12/1909,21/11/2129
PORTO DE MOZ,CONVENCIONAL,PA,Operante,-1.751055,-52.236186,13.08,22/04/1928,03/01/2125
PORTO DE PEDRAS,CONVENCIONAL,AL,Operante,-9.162012,-35.299881,42.21,13/03/1927,26/03/2127
PORTO NACIONAL,CONVENCIONAL,TO,Operante,-10.710833,-48.406389,243.28,31/12/1914,02/06/2127
POSSE,CONVENCIONAL,GO,Operante,-14.089167,-46.366667,830.35,03/08/1975,25/02/2128
PROPRIA,CONVENCIONAL,SE,Operante,-10.213889,-36.842222,18.46,09/05/1925,05/07/2127
QUIXERAMOBIM,CONVENCIONAL,CE,Operante,-5.173056,-39.287222,227.33,31/12/1895,82586
RESENDE,CONVENCIONAL,RJ,Operante,-22.451111,-44.444722,439.9,21/05/1944,06/04/2129
RIO VERDE,CONVENCIONAL,GO,Operante,-17.785278,-50.964722,780.04,31/12/1970,12/07/2128
SALINAS,CONVENCIONAL,MG,Operante,-16.154862,-42.284921,476.07,04/03/1925,13/06/2128
SALVADOR (ONDINA),CONVENCIONAL,BA,Operante,-13.005833,-38.505833,47.35,31/12/1902,14/11/2127
SANTA MARIA,CONVENCIONAL,RS,Operante,-29.724722,-53.720556,103.1,31/12/1911,21/10/2129
SANTA MARIA MADALENA,CONVENCIONAL,RJ,Operante,-21.968056,-42.003056,640,20/12/1921,23/02/2129
SANTA VITORIA DO PALMAR,CONVENCIONAL,RS,Operante,-33.531667,-53.350278,24.01,30/09/1912,21/12/2129
SAO CARLOS,CONVENCIONAL,SP,Operante,-21.980278,-47.883889,859.77,23/09/1939,25/03/2129
