lambda_l1,max_depth,num_leaves,min_data_in_leaf,rmse_pred_train_avg,rmse_pred_train_stdev,rmse_pred_test_avg,rmse_pred_test_stdev,rmse_prog_avg,rmse_prog_stdev
0.0007,7,32,28,32.950741822734436,8.294447375460363,32.03923917664622,9.203038587302718,45.69189420487192,17.846520020287922
0.0007,5,32,23,35.90839851272487,8.525884809094102,32.144290797601116,10.118023188532874,45.69189420487192,17.846520020287922
0.0007,5,128,23,35.90839851272487,8.525884809094102,32.144290797601116,10.118023188532874,45.69189420487192,17.846520020287922
0.0007,5,64,23,35.90839851272487,8.525884809094102,32.144290797601116,10.118023188532874,45.69189420487192,17.846520020287922
0.0007,6,128,28,35.82611452517343,9.625660576159985,32.23033185243913,9.852534416627657,45.69189420487192,17.846520020287922
0.0007,6,64,28,35.82611452517343,9.625660576159985,32.23033185243913,9.852534416627657,45.69189420487192,17.846520020287922
0.0007,5,64,33,36.4958998549098,8.94069811823152,32.33852431389845,9.034796890091425,45.69189420487192,17.846520020287922
0.0007,5,32,33,36.4958998549098,8.94069811823152,32.33852431389845,9.034796890091425,45.69189420487192,17.846520020287922
0.0007,5,128,33,36.4958998549098,8.94069811823152,32.33852431389845,9.034796890091425,45.69189420487192,17.846520020287922
0.0007,6,32,28,34.089706922284485,8.706744928484477,32.62985060454235,9.824164296747878,45.69189420487192,17.846520020287922
0.0007,-1,32,33,32.29752035940787,9.544034735576652,32.65358530795926,9.506307291159773,45.69189420487192,17.846520020287922
0.0007,7,32,33,34.67602895184384,7.835314999522392,32.69111778890048,10.425597897005634,45.69189420487192,17.846520020287922
0.0007,6,32,23,34.88574242681734,7.821262228407515,32.802068494159414,9.258625680915566,45.69189420487192,17.846520020287922
0.0007,7,32,23,34.530326380609786,9.766526366462026,32.805097381678465,10.7329987002295,45.69189420487192,17.846520020287922
0.0007,5,32,28,36.37384838322354,9.290715171692444,32.98604267750087,9.405600692829104,45.69189420487192,17.846520020287922
0.0007,5,64,28,36.37384838322354,9.290715171692444,32.98604267750087,9.405600692829104,45.69189420487192,17.846520020287922
0.0007,5,128,28,36.37384838322354,9.290715171692444,32.98604267750087,9.405600692829104,45.69189420487192,17.846520020287922
0.0007,6,128,33,36.12902595498324,9.741878756866438,33.14401226462055,10.247038750449375,45.69189420487192,17.846520020287922
0.0007,6,64,33,36.12902595498324,9.741878756866438,33.14401226462055,10.247038750449375,45.69189420487192,17.846520020287922
0.0007,-1,32,23,32.663990461789574,10.644354176682493,33.17451507122951,9.727049934555328,45.69189420487192,17.846520020287922
0.0007,6,64,23,34.11043849516763,9.588827536835732,33.34804179927881,10.269229369092804,45.69189420487192,17.846520020287922
0.0007,6,128,23,34.11043849516763,9.588827536835732,33.34804179927881,10.269229369092804,45.69189420487192,17.846520020287922
0.0007,6,32,33,34.96091471247408,8.325301757257792,33.60306608871122,9.923865304758923,45.69189420487192,17.846520020287922
0.0007,-1,64,23,27.555363026739688,14.081742954994379,33.64425802056855,10.472089750659594,45.69189420487192,17.846520020287922
0.0007,-1,32,28,33.626434395446225,11.823287557983605,33.776900697779936,10.39538886568037,45.69189420487192,17.846520020287922
0.0007,7,128,28,32.61621716137479,6.227494037946103,33.801216988826994,10.091956199813538,45.69189420487192,17.846520020287922
0.0007,7,64,33,33.776854956114214,9.042491482961212,34.11140402476431,11.15976510919276,45.69189420487192,17.846520020287922
0.0007,7,128,33,33.75341094605902,7.964866223649328,34.24738539106594,9.420608048174062,45.69189420487192,17.846520020287922
0.0007,7,64,23,31.308482434823116,8.784556444807983,34.33115026203281,9.99219625276726,45.69189420487192,17.846520020287922
0.0007,-1,64,28,28.499358086154988,9.078106179811732,34.62598277159061,10.268983641743985,45.69189420487192,17.846520020287922
0.0007,-1,128,28,23.216531355424465,8.153059766760245,34.86263706065547,11.585209281141811,45.69189420487192,17.846520020287922
0.0007,7,64,28,31.356638049071773,7.095148539582076,35.12298904642806,11.140625962098941,45.69189420487192,17.846520020287922
0.0007,7,128,23,32.01366973079162,8.937121388367348,35.60877410201467,8.99841346392997,45.69189420487192,17.846520020287922
0.0007,-1,128,33,19.947179839878828,10.220842749653665,36.25113161415244,10.53565465205179,45.69189420487192,17.846520020287922
0.0007,-1,64,33,27.820985315177577,10.534514033985992,36.27882216478967,11.76182499441322,45.69189420487192,17.846520020287922
0.0007,-1,128,23,20.29681844468941,9.920623849770472,36.66932086479861,12.68511166361934,45.69189420487192,17.846520020287922
