lambda_l1,max_depth,num_leaves,min_data_in_leaf,rmse_pred_train_avg,rmse_pred_train_stdev,rmse_pred_test_avg,rmse_pred_test_stdev,rmse_prog_avg,rmse_prog_stdev
0.0001,8,106,23,30.036676797032033,9.890203492578403,33.16880374878877,10.911951790969143,45.69189420487192,17.846520020287922
0.0001,8,235,31,32.24872897561889,8.227509126568581,34.054009305586554,9.372145947447121,45.69189420487192,17.846520020287922
0.0001,8,103,27,31.08447834135368,9.187510987508707,34.24214273406228,10.739290703377506,45.69189420487192,17.846520020287922
0.0001,8,258,34,33.988049927210476,9.723980801420172,34.3716451939931,11.374923633764977,45.69189420487192,17.846520020287922
0.0001,8,299,29,31.927433989653302,8.848957090962694,34.80965540499212,9.893684462125666,45.69189420487192,17.846520020287922
0.0001,8,251,29,31.927433989653302,8.848957090962694,34.80965540499212,9.893684462125666,45.69189420487192,17.846520020287922
0.0001,8,208,32,31.621895034075187,10.715790146399943,34.83812448334848,11.291428994631,45.69189420487192,17.846520020287922
0.0001,8,168,34,32.970877907201356,9.43392473102242,35.081510380903026,11.595866806633277,45.69189420487192,17.846520020287922
0.0001,8,121,20,29.514470297549586,10.021006770509446,35.46478595991524,11.516356594580046,45.69189420487192,17.846520020287922
0.0001,8,133,26,31.58474255799464,8.15987854933983,36.413655161285085,11.660638936025384,45.69189420487192,17.846520020287922
