n_estimators,max_depth,min_samples_leaf,rmse_pred_train_avg,rmse_pred_train_stdev,rmse_pred_test_avg,rmse_pred_test_stdev,rmse_prog_avg,rmse_prog_stdev
100,,1,56.59112423629748,16.55907131489258,68.84719190131776,26.714301086075544,45.69189420487192,17.846520020287922
208,10.0,2,57.62009469422054,17.33321461482322,69.14359280271707,26.44314550819815,45.69189420487192,17.846520020287922
71,10.0,12,59.65754298089693,21.911561977165153,69.76724111722764,23.151230884683795,45.69189420487192,17.846520020287922
233,10.0,38,63.26960116099161,26.43823070454439,70.25981127856889,26.98789901268711,45.69189420487192,17.846520020287922
181,9.0,23,64.4248946785391,23.899971108940555,70.29768099773894,25.34560681577799,45.69189420487192,17.846520020287922
64,9.0,26,59.099070898395794,19.092010464839785,70.38202242987884,24.485599967542576,45.69189420487192,17.846520020287922
123,7.0,50,60.93914699839333,23.931552516241624,71.29230969266618,23.687755128366806,45.69189420487192,17.846520020287922
147,8.0,9,59.86110857584237,21.580061600080963,71.41038312035046,25.691253764270073,45.69189420487192,17.846520020287922
120,7.0,38,59.35126397206894,24.339447250979063,71.9331156020125,24.19989496284008,45.69189420487192,17.846520020287922
54,7.0,28,57.470572751924045,17.785235885091872,72.04893771970391,23.15964309257999,45.69189420487192,17.846520020287922
244,8.0,37,60.37026337507646,25.02867802760873,72.09951343918398,25.30566632535326,45.69189420487192,17.846520020287922
92,10.0,3,58.333761879711574,18.54786380981152,72.21487886263192,26.243853765627577,45.69189420487192,17.846520020287922
177,9.0,2,57.9429605980302,18.51656337690387,72.31847790176131,29.520759944928653,45.69189420487192,17.846520020287922
249,7.0,6,54.76435983076736,14.215758149750839,72.35203293466631,22.870885429235543,45.69189420487192,17.846520020287922
122,8.0,37,59.738676545767,23.676862559695042,72.38824180865849,24.783957593464397,45.69189420487192,17.846520020287922
105,8.0,37,59.603845355601734,25.33847182232096,72.79827099966283,22.47777182287461,45.69189420487192,17.846520020287922
95,8.0,44,60.925653561270266,26.969974680439623,73.18790058586649,23.92280884971544,45.69189420487192,17.846520020287922
250,4.0,46,76.05361356430632,19.022502939376373,74.1079094481453,34.156310072901626,45.69189420487192,17.846520020287922
166,6.0,17,64.25918158934876,18.290645740271618,75.69360441541072,26.584843902106027,45.69189420487192,17.846520020287922
183,6.0,38,65.08536707931512,18.546375496912617,76.93744074924906,30.084820191729342,45.69189420487192,17.846520020287922
225,3.0,15,94.92660982511799,39.2584821330825,77.19469925520049,33.45777776054511,45.69189420487192,17.846520020287922
239,3.0,35,94.96575442388855,39.25335009640929,77.25383150883314,33.460827479155796,45.69189420487192,17.846520020287922
247,3.0,14,94.64633422613294,39.35743425782086,77.27015058911118,33.46243865191321,45.69189420487192,17.846520020287922
250,3.0,38,94.65656642486222,39.33655150772193,77.29930206803806,33.488308026270296,45.69189420487192,17.846520020287922
163,3.0,15,97.25065362681495,38.944152064613824,77.42272546311469,33.55039427548356,45.69189420487192,17.846520020287922
159,3.0,37,97.22332609853805,38.941076578704845,77.56819475695707,33.58832524379662,45.69189420487192,17.846520020287922
235,6.0,18,64.45001255789401,18.745669483518974,77.64723047964198,31.993857038321913,45.69189420487192,17.846520020287922
176,6.0,22,65.11746002225534,19.152342890070944,78.06064244902535,31.95316449686558,45.69189420487192,17.846520020287922
201,4.0,25,76.80954054956146,19.69411037591115,79.11762663699784,36.95133816085229,45.69189420487192,17.846520020287922
189,5.0,48,59.01171074847496,16.316704375926836,79.94026748334767,32.6677281500231,45.69189420487192,17.846520020287922
144,5.0,40,60.289561994434266,17.14535265243922,79.96795394231424,32.75434190436481,45.69189420487192,17.846520020287922
77,4.0,46,78.18865946964601,21.399804480340897,80.27805748681087,37.412607791468155,45.69189420487192,17.846520020287922
88,4.0,40,75.65636719825162,19.170007015250935,80.32127382858735,37.41814922006097,45.69189420487192,17.846520020287922
79,4.0,7,75.86104817818752,19.421417942821808,80.44702832360362,37.53909656990478,45.69189420487192,17.846520020287922
134,4.0,24,77.48452419552751,20.197296663601097,80.466837047847,37.42664954098617,45.69189420487192,17.846520020287922
164,5.0,12,59.69089584019593,15.986479033137384,80.51800966717252,32.29050348613031,45.69189420487192,17.846520020287922
55,5.0,15,59.30613556678509,16.69078176691653,82.04473688766977,33.93115671657464,45.69189420487192,17.846520020287922
