alpha,rmse_pred_train_avg,rmse_pred_train_stdev,rmse_pred_test_avg,rmse_pred_test_stdev,rmse_prog_avg,rmse_prog_stdev
0.0001,65.09639882578097,24.519154825714253,65.06950601026765,19.52574869982765,45.69189420487192,17.846520020287922
0.001,65.09624109501306,24.519263460762666,65.06956717684231,19.525747450082932,45.69189420487192,17.846520020287922
0.01,65.09466707408492,24.520347326992994,65.07017956025729,19.52573560780449,45.69189420487192,17.846520020287922
0.1,65.07924843710974,24.530942136066415,65.07637142220791,19.52568063401659,45.69189420487192,17.846520020287922
1.0,64.95140901079401,24.61639468620375,65.14228135855156,19.529887219023536,45.69189420487192,17.846520020287922
10.0,64.50052661441951,24.793655635573998,65.66992179009108,19.65862530736244,45.69189420487192,17.846520020287922
100.0,64.04339991180166,24.390988348184226,66.84879889027115,20.162238234548816,45.69189420487192,17.846520020287922
