eta,n_estimators,max_depth,min_child_weight,reg_lambda,subsample,rmse_pred_train_avg,rmse_pred_train_stdev,rmse_pred_test_avg,rmse_pred_test_stdev,rmse_prog_avg,rmse_prog_stdev
0.05,150,4,5,5,0.9,39.57375837612861,9.67077932224933,33.887976941527135,10.548683244813963,45.69189420487192,17.846520020287922
0.05,150,4,5,5,0.95,39.513098419723356,9.109897770758728,34.14918945991283,10.20616166198007,45.69189420487192,17.846520020287922
0.05,150,7,5,5,0.9,35.0032705183363,7.798084309750635,32.934285051706134,9.309091368521218,45.69189420487192,17.846520020287922
0.05,150,7,5,5,0.95,34.15386343621662,9.284362618954134,33.06853069247024,9.533778345118026,45.69189420487192,17.846520020287922
0.05,200,4,5,5,0.9,38.40514613157795,9.18961218724023,34.22242021480179,10.426550137060147,45.69189420487192,17.846520020287922
0.05,200,4,5,5,0.95,38.85884296396612,8.010697339415836,34.63346475332728,10.789590140852576,45.69189420487192,17.846520020287922
0.05,200,7,5,5,0.9,32.86956840120988,9.325964900102516,33.089059837240725,9.29567561556443,45.69189420487192,17.846520020287922
0.05,200,7,5,5,0.95,33.024162406220604,9.485947364077987,33.63952707739129,9.636529257280571,45.69189420487192,17.846520020287922
0.05,250,4,5,5,0.9,38.200689331048025,9.834040927269113,33.95184362069367,11.04473744392435,45.69189420487192,17.846520020287922
0.05,250,4,5,5,0.95,38.48169442070529,8.95373824286321,34.59767760231827,10.576118575903353,45.69189420487192,17.846520020287922
0.05,250,7,5,5,0.9,31.180665927510546,9.438679313567192,33.45420790941638,9.933609689920065,45.69189420487192,17.846520020287922
0.05,250,7,5,5,0.95,32.303279554234074,10.10313684561033,34.25419471742289,9.82004346440306,45.69189420487192,17.846520020287922
0.1,150,4,5,5,0.9,37.73938560405948,9.768553750282582,34.8875900524231,10.392389243949607,45.69189420487192,17.846520020287922
0.1,150,4,5,5,0.95,36.610587907851084,9.767248353341232,34.64148344926578,11.522139790424315,45.69189420487192,17.846520020287922
0.1,150,7,5,5,0.9,29.047663706413246,6.395269794186916,33.13733177859842,11.186979519090029,45.69189420487192,17.846520020287922
0.1,150,7,5,5,0.95,31.545939852549,8.26000918057724,32.445607091803275,11.7057352426716,45.69189420487192,17.846520020287922
0.1,200,4,5,5,0.9,34.92267436847812,9.150687570887781,34.84392920833638,10.708553423321238,45.69189420487192,17.846520020287922
0.1,200,4,5,5,0.95,36.192492299996815,7.942253070054674,34.124456721159795,11.61390180474437,45.69189420487192,17.846520020287922
0.1,200,7,5,5,0.9,27.35259809385565,7.316096610274718,34.72031288880643,10.593274150532444,45.69189420487192,17.846520020287922
0.1,200,7,5,5,0.95,29.736160649590396,9.121933166096994,33.50412223991045,13.211695928165886,45.69189420487192,17.846520020287922
0.1,250,4,5,5,0.9,35.09324695378368,8.971096622838356,35.178876088257134,11.005946090546269,45.69189420487192,17.846520020287922
0.1,250,4,5,5,0.95,35.05048745840281,8.593499154880512,33.84842879919913,11.028983912340077,45.69189420487192,17.846520020287922
0.1,250,7,5,5,0.9,24.887189834367412,7.907133387300684,34.81874912388426,10.181643856385158,45.69189420487192,17.846520020287922
0.1,250,7,5,5,0.95,28.700166212060687,9.033804300157904,32.97452831614082,11.749065885141006,45.69189420487192,17.846520020287922
0.15,150,4,5,5,0.9,36.057830010219114,6.858766346562827,33.70439565801647,10.165471828004307,45.69189420487192,17.846520020287922
0.15,150,4,5,5,0.95,35.13684377102742,9.832116834536485,34.831463016353005,10.306752040901277,45.69189420487192,17.846520020287922
0.15,150,7,5,5,0.9,28.469239033958385,7.363669037651145,34.52101865877534,10.827299309172876,45.69189420487192,17.846520020287922
0.15,150,7,5,5,0.95,28.704888492173463,11.245085485164871,33.33687291123782,10.59692028247214,45.69189420487192,17.846520020287922
0.15,200,4,5,5,0.9,33.87050455304763,6.33815686114396,34.022533112869816,10.20187817803893,45.69189420487192,17.846520020287922
0.15,200,4,5,5,0.95,35.509480832063794,9.785652366636981,34.685142040903465,11.182621227059458,45.69189420487192,17.846520020287922
0.15,200,7,5,5,0.9,26.40959715280324,8.495769909893083,34.196483681599666,10.95761794129809,45.69189420487192,17.846520020287922
0.15,200,7,5,5,0.95,26.781884927796323,11.173618387939168,33.40615912787721,10.385266134981563,45.69189420487192,17.846520020287922
0.15,250,4,5,5,0.9,31.43530061415734,7.830670102492614,34.250638251956566,9.8696092490186,45.69189420487192,17.846520020287922
0.15,250,4,5,5,0.95,33.038082319889654,11.041493861458296,35.97657975403658,10.271832831032942,45.69189420487192,17.846520020287922
0.15,250,7,5,5,0.9,24.851510842013038,6.337881976104995,35.386550634679644,11.7012453310952,45.69189420487192,17.846520020287922
0.15,250,7,5,5,0.95,25.724815455178,10.389484738112431,33.12985473092852,10.665850901832119,45.69189420487192,17.846520020287922
